Name,Locus_tag,Fru_1,Glu_1,Gly_1,Glucon_1,Mal_1,Pyr_1,M.G_1,LBexp_1,SMMPr_1,S0_1,G.S_1
dnaD,BSU22350,12.2534545455,12.3025545455,12.2860363636,12.3928181818,12.0963454545,11.6441363636,12.4657,12.6835181818,11.8247090909,12.3349636364,12.4135909091
asnS,BSU22360,13.5152181818,13.2563636364,12.9244818182,13.1267090909,13.2591272727,12.8150727273,13.0984454545,13.8985818182,12.9786818182,13.3160636364,13.4342090909
aspB,BSU22370,14.2874181818,14.1021636364,13.0333909091,13.8102181818,14.1689636364,13.4770272727,14.0988363636,14.2054818182,13.8779727273,13.5514363636,14.3108545455
ypmA,BSU22390,12.6927545455,12.7412363636,11.6339727273,12.5276909091,12.4362363636,11.9401727273,12.5834909091,13.2939272727,12.4135909091,12.2177272727,12.9045545455
dinG,BSU22400,12.8347181818,12.4957818182,11.2836363636,12.3433272727,11.8793818182,11.6918909091,12.2080818182,12.9394363636,12.2657909091,11.3527,12.7556363636
panD,BSU22410,13.1950727273,12.8307,12.8726818182,12.6713272727,12.3825090909,12.6538636364,12.8060181818,13.6313090909,12.6781272727,12.9357818182,12.8935363636
panC,BSU22420,12.6743272727,12.6835181818,12.7373,12.3825090909,12.1421818182,12.1009272727,12.404,13.5003090909,12.3529727273,12.5636363636,12.6633909091
panB,BSU22430,12.8665,12.9297909091,12.5071818182,12.4589181818,12.0513636364,12.3383545455,12.7082727273,13.5879272727,12.6816636364,12.6633909091,12.9603090909
birA,BSU22440,11.8206272727,11.801,11.1815181818,11.4336909091,11.3780545455,10.9271454545,11.8793818182,12.8472818182,11.4982727273,12.1596,12.0666
cca,BSU22450,12.2308363636,11.5963909091,11.1115454545,11.6573090909,11.7188636364,10.8423,11.6918909091,12.8115,11.3816,12.2211,12.1866818182
bshA,BSU22460,11.8992727273,11.5057727273,10.7658727273,11.3257545455,11.5091090909,10.8744818182,11.5255272727,12.8021181818,11.3582272727,11.8806545455,11.8764818182
bshB1,BSU22470,12.1977727273,11.9051636364,11.2691909091,11.8992727273,11.8587454545,11.3725818182,11.9759818182,13.0045545455,11.7951727273,11.788,12.2201454545
mgsA,BSU22480,11.9074363636,11.6518727273,10.8367909091,11.5572181818,11.5296727273,11.1082545455,11.7971363636,12.8040272727,11.4319727273,11.2062636364,12.0466090909
dapB,BSU22490,11.7984636364,11.7629,10.1371636364,11.3369,11.4982727273,10.9000363636,11.7337727273,12.6100272727,11.3449454545,10.8484,11.8822363636
ypjD,BSU22500,11.5811454545,11.7951727273,9.9276363636,11.3033818182,10.5919090909,11.0386454545,11.5468272727,12.7260272727,11.5916,10.1830727273,12.0502272727
ypjC,BSU22510,10.4976454545,10.0815,9.6559545455,9.6447363636,9.5866545455,9.5848363636,9.9173818182,10.5695909091,9.7909,10.0244090909,10.3692363636
ypjB,BSU22520,10.8698,10.6975272727,9.8701909091,10.8265090909,10.6145272727,12.3398272727,10.5512636364,10.7478363636,10.5185636364,11.2099909091,10.7416181818
ypjA,BSU22530,10.6496,10.3249636364,9.5106363636,10.0996909091,10.0244090909,9.9276363636,9.5565909091,10.6553818182,10.1259181818,11.0969090909,10.7517909091
qcrC,BSU22540,11.9523181818,13.2413454545,13.6082454545,14.2204454545,14.4186909091,15.0590272727,13.4081818182,11.5796727273,14.2101272727,14.9951818182,11.9627909091
qcrB,BSU22550,11.7289818182,12.7010636364,12.8935363636,13.6358909091,14.0542909091,14.4959545455,12.9074909091,11.3246,13.7435909091,14.5153909091,11.5782545455
qcrA,BSU22560,12.2336727273,13.7145818182,13.8233636364,14.4587545455,14.6660454545,14.8714090909,13.8508181818,11.9413636364,14.2938,15.0261181818,12.3067363636
ypiF,BSU22570,10.3546181818,11.3015818182,12.5224636364,12.2884454545,12.0594,12.8060181818,11.4872545455,9.9930636364,12.0605272727,12.4102,10.6145272727
ypiB,BSU22580,13.0631727273,13.3900727273,14.5815272727,14.1021636364,14.2478545455,14.6965181818,13.9807181818,12.2814090909,14.4451181818,14.1580909091,13.3136454545
ypiA,BSU22590,11.3780545455,11.3510909091,11.6145545455,11.5161545455,11.1833272727,12.2357272727,11.5980272727,11.7748363636,11.6245363636,11.1474909091,11.5523909091
aroE,BSU22600,13.5551272727,13.6106090909,13.2976727273,12.9539454545,13.6240181818,12.6366454545,13.6240181818,12.0140636364,13.3343363636,12.2714272727,13.4216272727
tyrA,BSU22610,14.1376636364,14.3052272727,13.0865636364,13.6650545455,14.0124272727,13.0782636364,14.3922272727,12.6051090909,13.9338363636,11.9557818182,14.1021636364
hisC ,BSU22620,14.6117181818,14.7779909091,13.9535363636,14.0785,14.3108545455,13.8023090909,14.6243636364,12.7713727273,14.6660454545,11.9074363636,14.5594363636
trpA,BSU22630,14.1851909091,14.2938,13.8822818182,13.5719272727,13.5699,13.4746181818,13.8634909091,12.3579090909,14.3767181818,11.3356818182,14.2204454545
trpB,BSU22640,12.3485727273,13.2960090909,13.8023090909,12.1127090909,12.5243363636,10.8247090909,12.5521181818,8.2261090909,12.7238909091,9.9608363636,12.3645727273
trpF,BSU22650,12.5224636364,12.0730272727,13.3193545455,11.3673545455,12.8638545455,10.7469272727,10.9204454545,8.9323090909,14.8648363636,11.9657818182,12.0276545455
trpC,BSU22660,12.1127090909,12.9903545455,13.6564727273,12.1906909091,12.1613818182,10.3567,12.0594,8.1107,12.6633909091,10.0091818182,12.0987818182
trpD,BSU22670,11.9612363636,12.6538636364,13.4021454545,11.7910090909,11.9536727273,10.7813181818,11.7234454545,8.1565181818,12.2565818182,9.5273545455,11.9401727273
trpE,BSU22680,12.1906909091,12.2265909091,11.7624,11.6794909091,11.5097909091,11.8062909091,10.7346909091,9.2206363636,12.5571,9.9173818182,12.0228363636
aroH,BSU22690,14.1990818182,14.3217818182,14.3441818182,13.6717909091,14.5897181818,13.5092545455,14.4788,12.4415090909,14.2800909091,13.2528272727,14.3168181818
aroB,BSU22700,14.0342,14.0444636364,13.9479545455,13.3580909091,14.1968,13.0045545455,14.2515,11.9866454545,13.8272545455,12.4450909091,13.9036636364
aroF,BSU22710,14.0124272727,14.1412272727,13.1152636364,13.4121545455,14.1467636364,13.0279909091,14.2546363636,12.3485727273,13.8634909091,12.0513636364,13.9710909091
cheR,BSU22720,12.0276545455,12.2080818182,11.1892636364,11.9271,11.5931181818,11.4854909091,11.8862909091,11.4841363636,11.6047727273,11.7424545455,12.3825090909
ndk,BSU22730,13.614,13.3086818182,13.7179090909,13.8191727273,14.1907454545,13.7048545455,13.1152636364,14.1276909091,13.2374727273,14.8332090909,13.8102181818
hepT,BSU22740,13.0015454545,12.6743272727,11.6398363636,12.8698818182,12.3579090909,12.2231090909,12.8289909091,13.4720363636,12.5859454545,12.2422272727,12.8184727273
menH,BSU22750,13.1727,13.1133545455,11.9740818182,13.1221545455,12.6381272727,12.7392090909,12.8858454545,13.5464,12.8096909091,12.3209909091,13.2260272727
hepS,BSU22760,13.4145454545,13.5298181818,11.9133636364,13.3317454545,12.2714272727,13.0174909091,13.1693636364,13.8423090909,13.3290454545,12.6245454545,13.6240181818
mtrB,BSU22770,13.6902727273,13.7507,13.4410181818,13.5122545455,13.3925454545,13.4651363636,13.5908545455,13.9182,13.6358909091,13.4216272727,13.7145818182
folE,BSU22780,13.5699,13.6041636364,13.0631727273,13.3367727273,12.9275272727,13.1311545455,13.3794727273,13.9710909091,13.5122545455,13.1583363636,13.6781727273
spoIVA,BSU22800,8.5476181818,8.6761272727,8.8405818182,12.1822363636,8.8023727273,15.1282636364,8.6339727273,8.3296818182,11.9224181818,7.9148727273,8.4987636364
yphF,BSU22810,12.9297909091,13.3722363636,12.1086545455,13.2996727273,12.3685,13.6781727273,12.6216636364,11.4663727273,13.2026909091,11.9401727273,12.8914909091
yphE,BSU22820,12.9603090909,13.2499818182,12.0186545455,13.2528272727,12.3967272727,13.3767363636,12.3776363636,11.4647636364,13.3443909091,11.8081272727,12.9932272727
gpsA,BSU22830,12.5394272727,12.2161090909,12.6982272727,11.9612363636,12.3000636364,11.5097909091,12.0276545455,13.0923909091,11.8107272727,12.6678,12.3609090909
yphC,BSU22840,12.6858454545,12.3848090909,12.3261181818,12.1338181818,12.1921454545,11.8049272727,12.2422272727,13.2996727273,12.0304181818,12.4783545455,12.6713272727
ypzH,BSU22849,9.2054454546,8.7839818182,8.3080545455,8.8178181818,8.5866363636,10.3546181818,9.1482363636,9.2407727273,8.8869181818,8.3153181818,9.1706272727
seaA,BSU22850,8.4408181818,8.1270454546,8.2307727273,7.9836363636,8.1256454546,10.1025636364,7.7797727273,8.5212181818,8.6013545455,8.2281545455,8.4423545455
yphA,BSU22860,8.427,8.1629454546,8.0916363636,8.0106636364,8.1686363636,9.4149545455,7.9199272727,8.5811909091,8.1057090909,8.2012181818,8.4719
ypzI,BSU22869,8.4443545455,8.8597272727,9.1023090909,9.8881272727,8.0994545455,11.5010727273,9.5089,8.6798727273,10.0732454545,8.2335454546,8.4175454546
fni,BSU22870,12.3261181818,11.8680636364,11.5697090909,12.1669272727,11.9176272727,11.8455727273,11.9443909091,11.8173636364,11.8937,11.2115090909,12.0942727273
ypfD,BSU22880,15.0590272727,14.7326,14.3869818182,15.0261181818,14.7986636364,14.6852181818,14.8565727273,14.4325818182,15.0723363636,14.0785,15.0916545455
cmk,BSU22890,12.8858454545,12.7892363636,11.2788454545,12.5899363636,11.4565090909,12.4159545455,12.3383545455,13.5435181818,12.2308363636,12.1734272727,12.9884545455
ypfB,BSU22900,11.3746090909,11.7971363636,10.2764909091,11.9430636364,10.6341181818,12.3485727273,11.4595181818,12.3000636364,11.5951090909,11.0177909091,11.2440636364
dgrA,BSU22910,10.2500454545,10.7139272727,9.5089,10.3555272727,9.4316818182,9.9155363636,9.9652545455,11.0458818182,10.3187818182,10.1502090909,10.4848181818
ypeB,BSU22920,8.4155272727,8.3733272727,8.1727727273,8.9921636364,8.0599090909,11.3959272727,7.8499090909,8.3928818182,9.8574727273,8.1057090909,8.5304545455
sleB,BSU22930,7.2045909091,7.2154181818,7.4687818182,8.1840181818,7.3610545455,10.8620727273,7.199,7.4310636364,9.5170636364,7.3610545455,7.2755818182
prsW ,BSU22940,11.6073727273,11.8793818182,11.9176272727,11.9523181818,11.3449454545,12.4303090909,11.4636,11.3091727273,11.8269272727,11.8568909091,11.6459272727
ypdA,BSU22950,12.4941181818,12.4362363636,12.0757545455,12.4711090909,12.5093909091,12.1104727273,12.6643818182,12.7732818182,12.3903,11.9740818182,12.3420727273
gudB,BSU22960,14.5594363636,14.0057818182,13.9855636364,14.4186909091,14.2874181818,14.0342,13.3986818182,15.0061545455,14.2299727273,14.8714090909,14.4726454545
ypbH,BSU22970,12.7392090909,12.5521181818,12.6125545455,12.6835181818,12.0502272727,12.6643818182,12.3000636364,12.1796545455,12.6169545455,12.1572545455,12.8082090909
ypbG,BSU22980,9.5722818182,9.0907181818,9.1946363636,8.6655909091,9.5155636364,8.8008,9.0183636364,10.0679818182,9.8040090909,8.9829090909,9.4576727273
ypbF,BSU22990,11.3033818182,11.5697090909,10.7447363636,11.8173636364,11.1337909091,11.9293,11.1506818182,10.7110545455,11.0054818182,10.5251181818,11.4464272727
recQ,BSU23020,11.7361090909,11.8330090909,11.1833272727,11.8049272727,11.1019181818,11.4266727273,11.5750272727,11.0835,11.4310818182,10.4955818182,11.6668272727
ypbB,BSU23030,11.3857636364,11.2717181818,10.2181181818,11.2357818182,10.6255818182,10.7034636364,11.0531454545,10.8298,11.0604272727,10.1592545455,11.4103909091
